Input,Ambient,Flow,Radiation
15.1,18.9,0,1.40E+01
15.09,18.9,0,1.40E+01
15.08,18.9,0,1.40E+01
15.07,18.8,0,1.40E+01
15.06,18.8,0,1.40E+01
15.05,18.8,0,1.40E+01
15.04,18.8,0,1.40E+01
15.03,18.8,0,1.40E+01
15.02,18.8,0,1.40E+01
15.01,18.8,0,1.40E+01
15,18.8,0,1.40E+01
15.01,18.8,0,1.40E+01
15.02,18.8,0,1.40E+01
15.03,18.8,0,1.40E+01
15.04,18.8,0,1.40E+01
15.05,18.8,0,1.40E+01
15.06,18.9,0,1.40E+01
15.07,18.9,0,1.40E+01
15.08,18.8,0,1.40E+01
15.09,18.9,0,1.40E+01
15.1,18.9,0,1.40E+01
15.11,18.9,0,1.40E+01
15.12,18.9,0,1.40E+01
15.13,19,0,1.40E+01
15.14,19,0,1.40E+01
15.15,19,0,1.40E+01
15.16,19.1,0,1.40E+01
15.17,19.1,0,1.40E+01
15.18,19.1,0,1.40E+01
15.19,19.2,0,1.40E+01
15.2,19.3,0,1.40E+01
15.2,19.3,0,1.40E+01
15.2,19.3,0,1.40E+01
15.2,19.3,0,1.40E+01
15.2,19.4,0,1.40E+01
15.2,19.4,0,1.40E+01
15.2,19.5,0,1.40E+01
15.2,19.5,0,1.40E+01
15.2,19.5,0,1.40E+01
15.2,19.6,0,1.40E+01
15.2,19.6,0,1.40E+01
15.21,19.6,0,1.40E+01
15.22,19.7,0,1.40E+01
15.23,19.8,0,1.40E+01
15.24,19.7,0,1.40E+01
15.25,19.8,0,1.40E+01
15.26,19.7,0,1.40E+01
15.27,19.8,0,1.40E+01
15.28,19.8,0,1.40E+01
15.29,19.9,0,1.40E+01
15.3,20,0,1.40E+01
15.3,20,0,1.40E+01
15.3,19.9,0,1.40E+01
15.3,20,0,1.40E+01
15.3,20.1,0,1.40E+01
15.3,20.1,0,1.40E+01
15.3,20.1,0,1.40E+01
15.3,20.2,0,1.40E+01
15.3,20.3,0,1.40E+01
15.3,20.3,0,1.40E+01
15.3,20.3,0,1.40E+01
15.3,20.4,0,1.40E+01
15.3,20.4,0,1.40E+01
15.3,20.4,0,1.40E+01
15.3,20.4,0,1.40E+01
15.3,20.4,0,1.40E+01
15.3,20.6,0,1.40E+01
15.3,20.5,0,1.40E+01
15.3,20.6,0,1.40E+01
15.3,20.7,0,1.40E+01
15.3,20.6,0,1.40E+01
15.31,20.7,0,1.40E+01
15.32,20.7,0,1.40E+01
15.33,20.6,0,1.40E+01
15.34,20.7,0,1.40E+01
15.35,20.7,0,1.40E+01
15.36,20.8,0,1.40E+01
15.37,20.9,0,1.40E+01
15.38,20.9,0,1.40E+01
15.39,20.9,0,1.40E+01
15.4,20.9,0,1.40E+01
15.41,20.9,0,1.40E+01
15.42,20.9,0,1.40E+01
15.43,20.9,0,1.40E+01
15.44,20.9,0,1.40E+01
15.45,20.9,0,1.40E+01
15.46,20.9,0,1.40E+01
15.47,20.9,0,1.40E+01
15.48,20.9,0,1.40E+01
15.49,21,0,1.40E+01
15.5,21,0,1.40E+01
15.51,21,0,1.40E+01
15.52,21,0,1.40E+01
15.53,21,0,1.40E+01
15.54,21,0,1.40E+01
15.55,21,0,1.40E+01
15.56,21,0,1.40E+01
15.57,21,0,1.40E+01
15.58,21,0,1.40E+01
15.59,21,0,1.40E+01
15.6,21.1,0,1.40E+01
15.61,21.1,0,1.40E+01
15.62,21.1,0,1.40E+01
15.63,21,0,1.40E+01
15.64,21,0,1.40E+01
15.65,21.1,0,1.40E+01
15.66,21,0,1.40E+01
15.67,21,0,1.40E+01
15.68,21,0,1.40E+01
15.69,21.1,0,1.40E+01
15.7,21.1,0,1.40E+01
15.71,21.1,0,1.40E+01
15.72,21.1,0,1.40E+01
15.73,21,0,1.40E+01
15.74,21,0,1.40E+01
15.75,21,0,1.40E+01
15.76,21.1,0,1.40E+01
15.77,21.1,0,1.40E+01
15.78,21.1,0,1.40E+01
15.79,21.1,0,1.40E+01
15.8,21,0,1.40E+01
15.81,21,0,1.40E+01
15.82,21,0,1.40E+01
15.83,21.1,0,1.40E+01
15.84,21.1,0,1.40E+01
15.85,21.1,0,1.40E+01
15.86,21.1,0,1.40E+01
15.87,21.1,0,1.40E+01
15.88,21.1,0,1.40E+01
15.89,21.1,0,1.40E+01
15.9,21.1,0,1.40E+01
15.92,21.1,0,1.40E+01
15.94,21.2,0,1.40E+01
15.96,21.2,0,1.40E+01
15.98,21.2,0,1.40E+01
16,21.2,0,1.40E+01
16.02,21.2,0,1.40E+01
16.04,21.3,0,1.40E+01
16.06,21.2,0,1.40E+01
16.08,21.3,0,1.40E+01
16.1,21.3,0,1.40E+01
16.11,21.3,0,1.40E+01
16.12,21.3,0,1.40E+01
16.13,21.3,0,1.40E+01
16.14,21.3,0,1.40E+01
16.15,21.4,0,1.40E+01
16.16,21.4,0,1.40E+01
16.17,21.4,0,1.40E+01
16.18,21.4,0,1.40E+01
16.19,21.4,0,1.40E+01
16.2,21.4,0,1.40E+01
16.21,21.4,0,1.40E+01
16.22,21.4,0,1.40E+01
16.23,21.4,0,1.40E+01
16.24,21.4,0,1.40E+01
16.25,21.4,0,1.40E+01
16.26,21.4,0,1.40E+01
16.27,21.4,0,1.40E+01
16.28,21.4,0,1.40E+01
16.29,21.4,0,1.40E+01
16.3,21.5,0,1.40E+01
16.31,21.4,0,1.40E+01
16.32,21.5,0,1.40E+01
16.33,21.5,0,1.40E+01
16.34,21.4,0,1.40E+01
16.35,21.5,0,1.40E+01
16.36,21.5,0,1.40E+01
16.37,21.5,0,1.40E+01
16.38,21.5,0,1.40E+01
16.39,21.5,0,1.40E+01
16.4,21.4,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.4,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.4,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.4,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.4,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.4,0,1.40E+01
16.4,21.5,0,1.40E+01
16.4,21.5,0,1.40E+01
16.43,21.4,0,1.40E+01
16.46,21.5,0,1.40E+01
16.49,21.6,0,1.40E+01
16.52,21.6,0,1.40E+01
16.55,21.6,0,1.40E+01
16.58,21.6,0,1.40E+01
16.61,21.7,0,1.40E+01
16.64,21.7,0,1.40E+01
16.67,21.8,0,1.40E+01
16.7,21.8,0,1.40E+01
16.7,21.9,0,1.40E+01
16.7,21.9,0,1.40E+01
16.7,22,0,1.40E+01
16.7,22,0,1.40E+01
16.7,22,0,1.40E+01
16.7,22.1,0,1.40E+01
16.7,22.1,0,1.40E+01
16.7,22.1,0,1.40E+01
16.7,22.2,0,1.40E+01
