Input,Ambient,Flow,Radiation
15.76,20.9,0,4.98E-04
15.77,20.9,0,5.07E-04
15.78,20.9,0,5.17E-04
15.79,20.9,0,5.26E-04
15.8,20.9,0,5.36E-04
15.79,20.9,0,5.46E-04
15.78,20.9,0,5.56E-04
15.77,20.9,0,5.66E-04
15.76,21,0,5.76E-04
15.75,21,0,5.87E-04
15.74,21.1,0,5.97E-04
15.73,21.1,0,6.08E-04
15.72,21.1,0,6.19E-04
15.71,21.1,0,6.30E-04
15.7,21.1,0,6.42E-04
15.71,21.1,0,6.53E-04
15.72,21.2,0,6.65E-04
15.73,21.2,0,6.77E-04
15.74,21.2,0,6.89E-04
15.75,21.2,0,7.01E-04
15.76,21.2,0,7.14E-04
15.77,21.2,0,7.26E-04
15.78,21.3,0,7.39E-04
15.79,21.2,0,7.52E-04
15.8,21.3,0,7.65E-04
15.8,21.3,0,7.79E-04
15.8,21.3,0,7.93E-04
15.8,21.3,0,8.07E-04
15.8,21.3,0,8.21E-04
15.8,21.4,0,8.35E-04
15.8,21.3,0,8.50E-04
15.8,21.3,0,8.64E-04
15.8,21.3,0,8.79E-04
15.8,21.3,0,8.95E-04
15.8,21.3,0,9.10E-04
15.8,21.3,0,9.26E-04
15.8,21.4,0,9.42E-04
15.8,21.4,0,9.58E-04
15.8,21.4,0,9.74E-04
15.8,21.4,0,9.91E-04
15.8,21.4,0,1.01E-03
15.8,21.4,0,1.03E-03
15.8,21.4,0,1.04E-03
15.8,21.4,0,1.06E-03
15.8,21.4,0,1.08E-03
15.8,21.4,0,1.10E-03
15.8,21.4,0,1.11E-03
15.8,21.4,0,1.13E-03
15.8,21.4,0,1.15E-03
15.8,21.4,0,1.17E-03
15.8,21.5,0,1.19E-03
15.8,21.4,0,1.21E-03
15.8,21.4,0,1.23E-03
15.8,21.4,0,1.25E-03
15.8,21.4,0,1.27E-03
15.8,21.4,0,1.29E-03
15.8,21.4,0,1.32E-03
15.8,21.4,0,1.34E-03
15.8,21.4,0,1.36E-03
15.8,21.4,0,1.38E-03
15.8,21.4,0,1.40E-03
15.8,21.3,0,1.43E-03
15.8,21.4,0,1.45E-03
15.8,21.3,0,1.47E-03
15.8,21.3,0,1.50E-03
15.79,21.2,0,1.52E-03
15.78,21.2,0,1.55E-03
15.77,21.1,0,1.57E-03
15.76,21.1,0,1.60E-03
15.75,21.1,0,1.62E-03
15.74,21.1,0,1.65E-03
15.73,21.1,0,1.68E-03
15.72,21,0,1.70E-03
15.71,21,0,1.73E-03
15.7,21,0,1.76E-03
15.7,20.9,0,1.78E-03
15.7,21,0,1.81E-03
15.7,20.9,0,1.84E-03
15.7,20.9,0,1.87E-03
15.7,21,0,1.90E-03
15.7,20.9,0,1.93E-03
15.7,20.9,0,1.96E-03
15.7,20.9,0,1.99E-03
15.7,20.8,0,2.02E-03
15.7,20.9,0,2.05E-03
15.69,20.9,0,2.08E-03
15.68,20.9,0,2.12E-03
15.67,20.9,0,2.15E-03
15.66,20.9,0,2.18E-03
15.65,20.9,0,2.22E-03
15.64,20.9,0,2.25E-03
15.63,20.9,0,2.28E-03
15.62,20.9,0,2.32E-03
15.61,20.9,0,2.35E-03
15.6,20.9,0,2.39E-03
15.6,20.9,0,2.43E-03
15.6,20.9,0,2.46E-03
15.6,20.9,0,2.50E-03
15.6,20.9,0,2.54E-03
15.6,20.9,0,2.58E-03
15.6,20.9,0,2.61E-03
15.6,20.9,0,2.65E-03
15.6,20.9,0,2.69E-03
15.6,20.9,0,2.73E-03
15.6,20.8,0,2.77E-03
15.61,20.8,0,2.81E-03
15.62,20.9,0,2.86E-03
15.63,20.8,0,2.90E-03
15.64,20.9,0,2.94E-03
15.65,20.9,0,2.98E-03
15.66,20.9,0,3.03E-03
15.67,20.9,0,3.07E-03
15.68,20.9,0,3.12E-03
15.69,20.9,0,3.16E-03
15.7,20.9,0,3.21E-03
15.7,20.9,0,3.25E-03
15.7,20.9,0,3.30E-03
15.7,20.9,0,3.35E-03
15.7,20.8,0,3.40E-03
15.7,20.9,0,3.44E-03
15.7,20.8,0,3.49E-03
15.7,20.9,0,3.54E-03
15.7,20.9,0,3.59E-03
15.7,20.9,0,3.64E-03
15.7,20.9,0,3.70E-03
15.7,20.9,0,3.75E-03
15.7,20.9,0,3.80E-03
15.7,20.9,0,3.85E-03
15.7,20.9,0,3.91E-03
15.7,20.9,0,3.96E-03
15.7,20.9,0,4.02E-03
15.7,20.8,0,4.07E-03
15.7,20.9,0,4.13E-03
15.7,20.9,0,4.19E-03
15.7,20.8,0,4.24E-03
15.7,20.8,0,4.30E-03
15.7,20.8,0,4.36E-03
15.7,20.9,0,4.42E-03
